Image Name: 1	
Slide Name: 160421_1	
Capture Date: 04/21/2016	
Capture Time: 14:48:56	
Plane	Time	Elapsed (ms)	G PMT (1)	G PMT (2)	G PMT (3)	G PMT (4)	G PMT (5)	G PMT (6)	G PMT (7)	G PMT (8)	G PMT (9)	G PMT (10)	G PMT (11)	G PMT (12)	G PMT (13)	G PMT (14)	G PMT (15)	G PMT (16)	G PMT (17)	G PMT (18)	
0	14:48:56	0	10.707	13.875	14.571	10.367	14.389	16.643	11.478	14.375	10.500	7.500	15.944	12.833	15.611	12.056	10.692	13.778	14.500	10.682	
1	14:48:56	5641	1356.931	1451.250	734.357	739.300	980.556	883.071	812.826	831.667	611.583	958.800	1359.222	389.944	1149.056	1068.500	841.500	433.333	1446.000	578.455	
2	14:48:56	5779	1327.397	1594.417	799.143	689.333	921.167	855.786	803.652	838.417	609.292	960.600	1420.833	396.000	1135.111	1058.833	893.346	471.722	1520.857	551.182	
3	14:48:56	5917	1307.500	1486.042	761.429	665.300	965.278	858.929	794.761	822.083	586.125	965.200	1399.444	382.278	1194.667	1045.611	799.269	457.833	1422.000	537.409	
4	14:48:56	6056	1289.828	1535.833	718.500	674.033	968.778	842.357	755.500	799.500	592.458	897.400	1398.167	349.556	1062.167	1018.000	821.115	426.833	1444.429	532.818	
5	14:48:56	6194	1295.603	1521.167	818.786	690.700	944.611	825.214	805.239	802.625	575.417	884.900	1354.667	360.333	1106.167	981.222	857.000	425.278	1598.571	505.636	
6	14:48:56	6332	1254.776	1493.667	799.429	687.133	962.000	724.143	781.717	770.708	577.792	971.000	1371.333	371.167	1023.278	986.889	781.038	411.000	1494.214	500.455	
7	14:48:56	6470	1268.638	1462.333	769.571	638.167	922.111	793.071	772.739	793.917	541.333	977.400	1360.222	379.833	1116.889	967.056	814.808	408.278	1383.929	575.727	
8	14:48:56	6609	1235.155	1505.542	772.143	681.600	957.667	791.071	764.587	816.292	535.333	973.700	1445.667	344.389	1079.722	1004.722	834.154	400.944	1424.571	506.864	
9	14:48:56	6747	1250.586	1509.917	804.000	704.167	921.056	751.786	807.087	822.833	553.667	976.500	1396.167	360.500	1022.556	981.167	813.654	439.944	1374.357	542.045	
10	14:48:56	6885	1279.586	1573.750	767.929	645.533	908.778	789.357	797.543	777.000	566.125	966.800	1323.944	375.833	1033.111	977.167	826.385	430.167	1470.000	469.545	
11	14:48:56	7023	1250.034	1560.375	749.286	641.967	940.611	841.429	768.478	799.500	555.458	918.000	1358.500	369.333	1083.944	984.556	826.038	423.222	1539.429	558.364	
12	14:48:56	7162	1234.069	1396.583	709.643	752.233	965.389	833.286	756.326	830.167	564.542	983.500	1308.500	351.278	1052.778	953.889	772.731	418.444	1463.857	510.909	
13	14:48:56	7300	1201.190	1398.583	756.357	641.033	919.833	773.786	733.674	758.667	561.625	891.200	1341.722	355.889	1093.944	936.444	797.500	413.722	1377.571	509.136	
14	14:48:56	7438	1234.155	1433.375	713.357	678.400	905.056	776.214	727.196	764.417	547.292	891.100	1226.056	313.500	1015.778	928.333	827.846	403.333	1476.714	488.000	
15	14:48:56	7576	1234.172	1510.667	722.786	629.000	928.333	783.143	756.130	770.500	559.042	903.300	1270.056	351.833	994.444	991.667	800.731	424.056	1364.500	465.773	
16	14:48:56	7715	1247.241	1494.083	680.714	652.567	888.222	780.214	730.891	733.000	538.750	835.400	1222.444	338.611	973.389	940.722	761.538	428.222	1449.714	468.591	
17	14:48:56	7853	1167.948	1479.625	733.929	617.267	887.444	767.286	730.087	712.667	543.417	798.200	1258.778	324.833	925.000	929.333	749.500	367.389	1407.286	489.364	
18	14:48:56	7991	1162.621	1467.667	634.929	620.233	840.389	666.357	681.891	709.125	506.250	816.900	1208.389	330.889	943.444	907.333	690.962	385.222	1347.929	447.864	
19	14:48:56	8129	1169.379	1347.000	632.714	638.733	855.444	756.929	726.848	736.917	529.042	850.600	1271.500	326.167	931.611	893.611	775.962	369.667	1357.643	453.955	
20	14:48:56	8267	1179.931	1496.208	637.071	667.367	895.333	741.571	703.000	702.042	532.125	817.100	1201.667	341.389	904.444	934.333	775.846	398.722	1345.429	452.000	
21	14:48:56	8406	1158.621	1504.708	649.357	638.200	841.722	735.643	737.196	756.250	550.667	756.100	1215.222	324.778	883.222	931.333	760.615	401.000	1337.500	470.545	
22	14:48:56	8544	1121.224	1433.125	632.286	638.933	854.833	715.857	701.696	734.542	529.292	818.000	1195.778	306.278	914.056	888.389	765.615	364.111	1243.286	497.636	
23	14:48:56	8682	1131.414	1410.375	656.929	645.233	869.444	742.143	687.891	715.292	545.250	765.300	1207.167	298.000	852.222	899.944	746.385	353.778	1217.500	440.136	
24	14:48:56	8820	1153.741	1451.792	682.857	621.200	844.111	690.929	702.022	728.167	523.833	833.800	1254.778	312.000	871.778	929.667	719.269	424.222	1319.786	453.318	
25	14:48:56	8959	1157.466	1403.375	673.571	622.233	933.611	772.000	683.500	730.333	491.417	733.000	1187.556	315.056	791.556	909.167	757.077	363.278	1277.214	449.455	
26	14:48:56	9097	1150.207	1451.667	605.429	606.467	853.611	747.429	700.239	700.542	508.958	770.600	1219.667	331.500	887.333	839.333	726.731	360.667	1270.143	438.545	
27	14:48:56	9235	1098.517	1450.333	622.714	561.267	830.944	746.929	663.457	749.208	515.250	792.800	1231.889	299.833	896.333	909.111	738.808	357.833	1283.214	453.364	
28	14:48:56	9373	1054.879	1340.958	627.429	564.967	802.444	740.000	657.522	733.333	506.375	761.500	1261.056	338.222	915.889	912.889	741.654	376.556	1161.429	452.864	
29	14:48:56	9512	1141.103	1351.083	567.929	568.867	833.667	748.214	682.543	753.292	506.292	779.600	1215.889	309.000	934.278	908.778	716.654	373.056	1225.643	443.773	
30	14:48:56	9650	1122.948	1416.125	622.429	591.267	782.278	738.786	678.957	687.625	498.583	767.300	1187.167	305.278	862.944	926.556	733.192	354.222	1269.286	460.409	
31	14:48:56	9788	1114.845	1345.333	617.286	634.200	850.444	728.643	647.087	724.917	492.792	724.900	1186.444	314.222	875.222	863.167	705.538	374.500	1224.571	454.000	
32	14:48:56	9926	1081.121	1326.458	612.786	609.400	793.389	714.643	623.804	679.958	528.958	771.700	1177.111	297.944	876.333	860.000	704.654	353.111	1122.000	466.500	
33	14:48:56	10064	1144.172	1328.792	622.143	548.733	785.056	720.857	622.109	703.625	518.500	781.400	1189.333	305.278	852.611	874.722	682.692	344.222	1213.500	453.727	
34	14:48:56	10203	1131.810	1343.292	650.000	581.367	866.056	686.857	667.543	671.333	518.583	861.500	1171.444	316.500	800.778	872.889	721.692	372.500	1155.929	446.818	
35	14:48:56	10341	1108.172	1386.167	615.357	576.700	838.833	705.286	683.913	771.875	488.083	843.800	1142.111	303.056	883.944	866.667	749.808	369.222	1161.357	443.591	
36	14:48:56	10479	1122.017	1341.583	568.714	605.000	786.833	722.071	646.630	725.708	504.750	805.200	1149.056	338.278	882.222	806.833	775.346	345.667	1163.000	419.909	
37	14:48:56	10617	1068.724	1343.125	604.571	613.100	848.778	715.857	638.935	752.250	491.917	859.900	1161.111	336.167	800.389	850.833	751.615	351.944	1164.786	438.955	
38	14:48:56	10756	1111.828	1338.458	610.071	595.833	914.667	717.643	639.587	742.667	513.583	861.200	1198.833	330.833	861.333	844.611	737.577	380.444	1209.071	468.545	
39	14:48:56	10894	1124.828	1353.042	636.071	667.500	911.889	727.357	669.587	724.875	546.167	793.800	1187.722	364.000	809.667	844.333	729.885	347.000	1245.214	461.273	
40	14:48:56	11032	1102.741	1410.625	579.071	614.533	928.111	753.929	706.261	736.708	509.917	803.300	1201.500	362.222	840.444	891.944	748.385	390.000	1169.143	458.818	
41	14:48:56	11170	1093.500	1384.583	598.000	587.167	885.889	706.571	708.696	721.042	505.875	871.900	1186.111	376.722	812.722	838.833	737.846	356.333	1125.429	439.273	
42	14:48:56	11309	1049.483	1258.583	587.286	531.367	849.056	731.857	662.022	745.958	522.958	837.800	1208.667	366.556	833.944	852.000	686.769	379.000	1148.714	450.182	
43	14:48:56	11447	1082.362	1398.667	660.857	641.467	923.222	781.571	712.630	766.083	533.458	794.300	1269.111	348.056	836.000	883.722	739.462	365.556	1130.143	456.273	
44	14:48:56	11585	1070.034	1355.542	630.143	663.800	939.278	788.286	736.283	725.667	520.500	803.400	1264.556	363.333	861.722	924.444	751.885	412.056	1178.000	478.682	
45	14:48:56	11723	1080.828	1432.333	609.214	606.667	964.111	736.571	726.391	744.625	514.917	807.900	1230.944	347.389	784.389	907.833	761.462	374.500	1224.643	464.045	
46	14:48:56	11862	1054.362	1416.917	607.429	610.167	926.556	711.214	732.978	777.792	513.083	874.700	1290.333	384.444	849.778	943.444	742.115	393.222	1230.643	487.864	
47	14:48:56	12000	1076.034	1383.833	624.643	636.700	900.778	706.929	728.457	739.458	528.792	870.100	1246.056	336.722	803.778	911.611	771.077	370.056	1177.286	469.500	
48	14:48:56	12138	1120.034	1446.708	673.000	571.833	972.833	756.571	726.543	742.458	527.167	823.800	1206.056	351.389	755.667	920.167	750.769	384.444	1252.286	470.909	
49	14:48:56	12276	1090.914	1379.792	604.500	598.533	894.556	760.643	716.152	752.083	527.000	845.700	1191.389	349.389	785.833	886.333	733.231	361.222	1266.714	447.636	
50	14:48:56	12415	1073.552	1437.458	630.929	620.300	901.444	764.143	745.500	758.750	526.583	891.300	1216.056	353.611	782.667	902.000	703.154	420.000	1145.571	488.727	
51	14:48:56	12553	1071.241	1326.125	639.000	609.600	875.111	743.571	698.783	746.458	523.792	767.900	1196.389	332.056	828.889	900.056	755.846	364.111	1194.929	485.591	
52	14:48:56	12691	1068.862	1361.708	666.429	633.467	954.444	733.286	731.739	785.083	523.458	853.700	1195.667	333.111	768.111	920.889	771.538	381.222	1216.857	502.364	
53	14:48:56	12829	1139.638	1360.667	594.429	607.833	925.556	719.000	747.783	750.417	506.417	806.800	1238.944	326.278	775.556	974.056	746.962	410.278	1128.571	486.182	
